"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","Reset de datos de prueba borra pedidos anteriores","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Pedidos - API","com.sara.qa.api.OrderApiTests","resetClearsOrders"
"","1038","El menu permite navegar al carrito y volver al catalogo","","Sat Sep 19 17:16:18 UTC 2026","passed","Sat Sep 19 17:16:19 UTC 2026","","Home / Catalogo","com.sara.qa.ui.HomePageTests","navMenuOpensEmptyCart"
"","43","GET /api/products/{id} devuelve el producto","","Sat Sep 19 17:16:20 UTC 2026","passed","Sat Sep 19 17:16:20 UTC 2026","","Catálogo - API","com.sara.qa.api.CatalogApiTests","productByIdReturnsExpectedProduct"
"","2915","Compra completa: catalogo -> carrito -> checkout -> confirmacion","","Sat Sep 19 17:16:11 UTC 2026","passed","Sat Sep 19 17:16:14 UTC 2026","","Flujo E2E de compra","com.sara.qa.ui.CartFlowTests","fullPurchaseJourney"
"","1259","Anadir un producto incrementa el contador del carrito","","Sat Sep 19 17:16:15 UTC 2026","passed","Sat Sep 19 17:16:16 UTC 2026","","Home / Catalogo","com.sara.qa.ui.HomePageTests","addProductIncrementsCartCounter"
"","925","Cada producto del catalogo muestra una imagen con alt descriptivo","","Sat Sep 19 17:16:17 UTC 2026","passed","Sat Sep 19 17:16:18 UTC 2026","","Home / Catalogo","com.sara.qa.ui.HomePageTests","everyProductShowsAnImage"
"","1577","Carrito (con items) sin violaciones criticas WCAG","","Sat Sep 19 17:16:25 UTC 2026","passed","Sat Sep 19 17:16:26 UTC 2026","","Accesibilidad (axe-core)","com.sara.qa.a11y.AccessibilityTests","cartWithItemsHasNoCriticalViolations"
"","9","Anadir un producto inexistente devuelve 404","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Carrito - API","com.sara.qa.api.CartApiTests","unknownProductReturns404"
"","1465","Quitar un producto recalcula el total","","Sat Sep 19 17:16:07 UTC 2026","passed","Sat Sep 19 17:16:08 UTC 2026","","Flujo E2E de compra","com.sara.qa.ui.CartFlowTests","removeItemUpdatesTotal"
"","24650","Todos los campos obligatorios en blanco muestran todos los errores","","Sat Sep 19 17:15:29 UTC 2026","passed","Sat Sep 19 17:15:54 UTC 2026","","Checkout - validacion del formulario","com.sara.qa.ui.CheckoutUiTests","allRequiredFieldsBlankShowsAllErrors"
"","1526","Modificar la cantidad de un articulo actualiza el total","","Sat Sep 19 17:16:05 UTC 2026","passed","Sat Sep 19 17:16:07 UTC 2026","","Flujo E2E de compra","com.sara.qa.ui.CartFlowTests","updateQuantityUpdatesTotal"
"","84","Anadir 2 unidades calcula totalItems y total","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Carrito - API","com.sara.qa.api.CartApiTests","addTwoUnitsComputesTotals"
"","1791","Emails incompletos como ana@. son rechazados","","Sat Sep 19 17:15:57 UTC 2026","passed","Sat Sep 19 17:15:58 UTC 2026","","Checkout - validacion del formulario","com.sara.qa.ui.CheckoutUiTests","incompleteEmailIsRejected"
"","173","GET /api/products devuelve el catálogo semilla (6 productos)","","Sat Sep 19 17:16:20 UTC 2026","passed","Sat Sep 19 17:16:20 UTC 2026","","Catálogo - API","com.sara.qa.api.CatalogApiTests","catalogHasSeededProducts"
"","925","La home muestra los 6 productos semilla","","Sat Sep 19 17:16:14 UTC 2026","passed","Sat Sep 19 17:16:15 UTC 2026","","Home / Catalogo","com.sara.qa.ui.HomePageTests","homeShowsSeededProducts"
"","11","Pedido inexistente devuelve 404","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Pedidos - API","com.sara.qa.api.OrderApiTests","unknownOrderReturns404"
"","31","Email en formato invalido devuelve 400","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Pedidos - API","com.sara.qa.api.OrderApiTests","invalidEmailReturns400"
"","10","Crear pedido con carrito vacio devuelve 400","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Pedidos - API","com.sara.qa.api.OrderApiTests","emptyCartReturns400"
"","850","GET /api/products/{id} con id inexistente devuelve 404","","Sat Sep 19 17:16:19 UTC 2026","passed","Sat Sep 19 17:16:20 UTC 2026","","Catálogo - API","com.sara.qa.api.CatalogApiTests","unknownProductReturns404"
"","1734","Subir la cantidad desde el carrito recalcula el total","","Sat Sep 19 17:16:08 UTC 2026","passed","Sat Sep 19 17:16:10 UTC 2026","","Flujo E2E de compra","com.sara.qa.ui.CartFlowTests","increaseQuantityFromCart"
"","878","Los precios se muestran en euros con coma decimal","","Sat Sep 19 17:16:16 UTC 2026","passed","Sat Sep 19 17:16:17 UTC 2026","","Home / Catalogo","com.sara.qa.ui.HomePageTests","pricesShownInEuros"
"","36","Campos obligatorios faltantes devuelven 400","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Pedidos - API","com.sara.qa.api.OrderApiTests","missingRequiredFieldsReturns400"
"","2041","Formulario de checkout sin violaciones criticas WCAG","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:23 UTC 2026","","Accesibilidad (axe-core)","com.sara.qa.a11y.AccessibilityTests","checkoutHasNoCriticalViolations"
"","34","Campos obligatorios solo con espacios devuelven 400","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Pedidos - API","com.sara.qa.api.OrderApiTests","whitespaceOnlyRequiredFieldsReturn400"
"","2258","Email en formato invalido muestra error de validacion","","Sat Sep 19 17:15:58 UTC 2026","passed","Sat Sep 19 17:16:01 UTC 2026","","Checkout - validacion del formulario","com.sara.qa.ui.CheckoutUiTests","invalidEmailShowsError"
"","80","Quitar un producto actualiza el carrito","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Carrito - API","com.sara.qa.api.CartApiTests","removeItemUpdatesCart"
"","1624","Email en blanco es valido porque el campo es opcional","","Sat Sep 19 17:16:03 UTC 2026","failed","Sat Sep 19 17:16:05 UTC 2026","","Checkout - validacion del formulario","com.sara.qa.ui.CheckoutUiTests","blankEmailIsAccepted"
"","35","Vaciar el carrito deja 0 items","","Sat Sep 19 17:16:21 UTC 2026","passed","Sat Sep 19 17:16:21 UTC 2026","","Carrito - API","com.sara.qa.api.CartApiTests","clearCartEmptiesCart"
